"pw_id","window_id","tic","event_date","form8k_filing_date","ar1","lag","window_length","window_prices","in_window_dates","post_window_prices","post_window_dates","form8kaccession","window_marketindex","post_window_marketindex","normalized_inwindow_prices","normalized_post_prices","normalized_inwindow_marketindex","normalized_post_marketindex","personid","owner","num_trades","gain_total","t_id","transaction_date","trancode","transaction_prc_tminus1","transaction_prc_tminus2","transaction_prc_tminus3","transaction_prc_tminus4","transaction_prc_tminus5","transaction_prc_tminus6","transaction_prc_tminus7","transaction_prc_tminus8","transaction_prc_tminus9","transaction_prc_tminus10","transaction_prc","transaction_prc_tplus1","transaction_prc_tplus5","transaction_prc_tplus10","tr1","signed_tr1","weighted_signed_tr4","gain","where_in_window","showtrade","num_shares","derek_prices","type3"
"87","21","ABT","2007-09-14","2007-09-19",".0040968","3","4","52.1,51.99,53.6,53.95000076","2007-09-14, 2007-09-17, 2007-09-18, 2007-09-19","53.6900, 54.4400, 53.8600, 54.3500, 54.0000, 54.0500, 53.6200, 55.2100, 55.4600, 55.5300","2007-09-20, 2007-09-21, 2007-09-24, 2007-09-25, 2007-09-26, 2007-09-27, 2007-09-28, 2007-10-01, 2007-10-02, 2007-10-03","http://www.sec.gov/Archives/edgar/data/1800/0001104659-07-069797-index.htm","0.000329,-0.005176,0.029171,0.006209","-0.006711,0.004665,-0.005194,-0.000420,0.005324,0.003923,-0.002987,0.013253,-0.000094,-0.004474","-0.0283841193174,-0.0304976756811,0.0,0.00650862362739","0.00167769635772,0.0155501097065,0.0048390193067,0.0138955454905,0.00743497848752,0.00836047600846,0.000373064731057,0.0295950282192,0.0341129721109,0.0353743471768","-0.023995,-0.029171,0.0,0.006209","0.023493,0.028158,0.022964,0.022544,0.027868,0.031791,0.028804,0.042057,0.041963,0.037489","12225611","TILTON GLENN FLETCHER","2","533060.14000","136","2007-09-18","P","53.6","51.99","52.1","52.16","52.25","51.96","51.68","51.86","52.9","51.72","53.6","53.69","54","55.53",".0011327",".0011327","0.060713","266530.07000","3","1","8780.00000","52.1000,51.9900,53.6000,53.9500","-0.021815304"
"114","35","ACIW","2007-12-19","2007-12-21",".0942718","2","3","17.06,17,18.23999977","2007-12-19, 2007-12-20, 2007-12-21","19.88000, 19.69000, 18.92000, 19.03000, 19.04000, 18.29000, 17.44000, 16.28000, 15.86000, 15.04000","2007-12-24, 2007-12-26, 2007-12-27, 2007-12-28, 2007-12-31, 2008-01-02, 2008-01-03, 2008-01-04, 2008-01-07, 2008-01-08","http://www.sec.gov/Archives/edgar/data/935036/0001104659-07-090384-index.htm","-0.001284,0.004919,0.016659","0.008120,0.000673,-0.014232,0.001478,-0.006926,-0.014298,0.000023,-0.024441,0.003262,-0.017998","0.00352319800732,0.0,0.07040364059","0.156500857172,0.146897548595,0.107006219568,0.112803337252,0.113328685307,0.0731411183466,0.0255530744246,-0.0432759834818,-0.0694131278495,-0.122500025535","-0.004919,0.0,0.016659","0.029698,0.030371,0.016139,0.017617,0.010691,-0.003607,-0.003584,-0.028025,-0.024763,-0.042761","12097280","LAUNDER RICHARD N","3","19277281.20000","182","2007-12-20","P","17","17.06","17.64","19.63","23.51","24.17","24.41","24.21","24.91","24.75","17","19.88","19.04","15.04",".1366214",".1366214","2.322564","7664461.20000","2","1","8300.00000","17.06000,17.00000,18.24000","0.126802857"
"116","31","ACC","2004-08-17","2004-08-19","-.0262579","2","3","17.34,17.11,17.09000015","2004-08-17, 2004-08-18, 2004-08-19","17.40000, 17.42000, 17.62000, 17.55000, 17.51000, 17.59000, 17.54000, 17.70000, 17.85000, 17.92000","2004-08-20, 2004-08-23, 2004-08-24, 2004-08-25, 2004-08-26, 2004-08-27, 2004-08-30, 2004-08-31, 2004-09-01, 2004-09-02","http://www.sec.gov/Archives/edgar/data/1283630/0001193125-04-143846-index.htm","0.002146,0.012488,-0.003621","0.006546,-0.002525,0.000499,0.008004,0.000091,0.002487,-0.007771,0.004596,0.001545,0.011258","0.0133528834483,0.0,-0.0011695907766","0.0168071183164,0.0179558835203,0.0293715326039,0.0253908620078,0.0231090583937,0.0276674708454,0.0248208990399,0.0339015516757,0.0423404203215,0.0462543196427","-0.012488,0.0,-0.003621","0.015413,0.012888,0.013387,0.021391,0.021482,0.023969,0.016198,0.020794,0.022339,0.033597","12259990","LOWENTHAL EDWARD","3","817132.00000","185","2004-08-18","P","17.11","17.34","17.5","17.51","17.5",,,,,,"17.11","17.4","17.51","17.92",".0119394",".0119394","0.204283","428994.30000","2","1","4000.00000","17.34000,17.11000,17.09000","0.001394118"
"161","56","ADC","2013-03-22","2013-03-27",".0863048","3","4","27.94,28.11,27.79,28.60000038","2013-03-22, 2013-03-25, 2013-03-26, 2013-03-27","30.10000, 29.46000, 29.44000, 29.10000, 29.40000, 29.97000, 29.87000, 29.28000, 29.74000, 30.12000","2013-03-28, 2013-04-01, 2013-04-02, 2013-04-03, 2013-04-04, 2013-04-05, 2013-04-08, 2013-04-09, 2013-04-10, 2013-04-11","http://www.sec.gov/Archives/edgar/data/917251/0001144204-13-017910-index.htm","0.007166,-0.003286,0.007773,-0.000517","0.004016,-0.004260,0.005096,-0.010512,0.004075,-0.004253,0.006384,0.003754,0.012058,0.003428","0.0053831100744,0.011449141164,0.0,0.0287304740714","0.0798489280004,0.0583571672801,0.0576780501063,0.046061930423,0.0563184305902,0.0755206375742,0.0721783884736,0.0522284453387,0.0678166972776,0.0805131591773","-0.004487,-0.007773,0.0,-0.000517","0.007986,0.003726,0.008822,-0.00169,0.002385,-0.001868,0.004516,0.00827,0.020328,0.023756","16030987","RAKOLTA JOHN  JR","4","42547909.56300","242","2013-03-25","P","27.79","28.11","27.94","27.68","27.78","27.85","28.08","28.68","28.7","28.33","28.11","30.1","29.4","30.12",".0735907",".0735907","2.068635","10343175.00000","2","1","6700.00000","27.94000,28.11000,27.79000,28.60000","0.071862928"
"161","56","ADC","2013-03-22","2013-03-27",".0863048","3","4","27.94,28.11,27.79,28.60000038","2013-03-22, 2013-03-25, 2013-03-26, 2013-03-27","30.10000, 29.46000, 29.44000, 29.10000, 29.40000, 29.97000, 29.87000, 29.28000, 29.74000, 30.12000","2013-03-28, 2013-04-01, 2013-04-02, 2013-04-03, 2013-04-04, 2013-04-05, 2013-04-08, 2013-04-09, 2013-04-10, 2013-04-11","http://www.sec.gov/Archives/edgar/data/917251/0001144204-13-017910-index.htm","0.007166,-0.003286,0.007773,-0.000517","0.004016,-0.004260,0.005096,-0.010512,0.004075,-0.004253,0.006384,0.003754,0.012058,0.003428","0.0053831100744,0.011449141164,0.0,0.0287304740714","0.0798489280004,0.0583571672801,0.0576780501063,0.046061930423,0.0563184305902,0.0755206375742,0.0721783884736,0.0522284453387,0.0678166972776,0.0805131591773","-0.004487,-0.007773,0.0,-0.000517","0.007986,0.003726,0.008822,-0.00169,0.002385,-0.001868,0.004516,0.00827,0.020328,0.023756","16030987","RAKOLTA JOHN  JR","4","42547909.56300","243","2013-03-22","P","27.79","28.11","27.94","27.68","27.78","27.85","28.08","28.68","28.7","28.33","27.94","30.1","29.4","30.12",".0827505",".0827505","2.312049","13627216.80600","1","1","5894.00000","27.94000,28.11000,27.79000,28.60000","0.071862928"
"161","56","ADC","2013-03-22","2013-03-27",".0863048","3","4","27.94,28.11,27.79,28.60000038","2013-03-22, 2013-03-25, 2013-03-26, 2013-03-27","30.10000, 29.46000, 29.44000, 29.10000, 29.40000, 29.97000, 29.87000, 29.28000, 29.74000, 30.12000","2013-03-28, 2013-04-01, 2013-04-02, 2013-04-03, 2013-04-04, 2013-04-05, 2013-04-08, 2013-04-09, 2013-04-10, 2013-04-11","http://www.sec.gov/Archives/edgar/data/917251/0001144204-13-017910-index.htm","0.007166,-0.003286,0.007773,-0.000517","0.004016,-0.004260,0.005096,-0.010512,0.004075,-0.004253,0.006384,0.003754,0.012058,0.003428","0.0053831100744,0.011449141164,0.0,0.0287304740714","0.0798489280004,0.0583571672801,0.0576780501063,0.046061930423,0.0563184305902,0.0755206375742,0.0721783884736,0.0522284453387,0.0678166972776,0.0805131591773","-0.004487,-0.007773,0.0,-0.000517","0.007986,0.003726,0.008822,-0.00169,0.002385,-0.001868,0.004516,0.00827,0.020328,0.023756","16030987","RAKOLTA JOHN  JR","4","42547909.56300","244","2013-03-26","P","27.79","28.11","27.94","27.68","27.78","27.85","28.08","28.68","28.7","28.33","27.79","30.1","29.4","30.12",".0776769",".0776769","2.158641","15060838.25700","3","1","6977.00000","27.94000,28.11000,27.79000,28.60000","0.071862928"
"244","83","AIR","2012-01-10","2012-01-13",".0253826","3","4","20.25,20.5,20.93,20.62000084","2012-01-10, 2012-01-11, 2012-01-12, 2012-01-13","20.54000, 20.86000, 21.29000, 21.26000, 21.18000, 21.10000, 21.01000, 20.84000, 21.17000, 20.91000","2012-01-17, 2012-01-18, 2012-01-19, 2012-01-20, 2012-01-23, 2012-01-24, 2012-01-25, 2012-01-26, 2012-01-27, 2012-01-30","http://www.sec.gov/Archives/edgar/data/1750/0001104659-12-002426-index.htm","0.008921,0.000312,0.002389,-0.004854","0.003456,0.011228,0.005077,0.000767,0.000415,-0.000942,0.008501,-0.005705,-0.001563,-0.002384","0.0,0.0122700925918,0.0330287429054,0.0181066850363","0.0142194109479,0.0296786560201,0.0500826853528,0.0486725793613,0.0449025466207,0.0411182469295,0.0368437213044,0.0287194233326,0.0444302915942,0.032072719888","0.0,0.000312,0.002701,-0.002153","0.001303,0.012531,0.017608,0.018375,0.01879,0.017848,0.026349,0.020644,0.019081,0.016697","16107004","WALFISH MARC JAY","1","609590.00000","343","2012-01-10","P","20.93","20.5","20.25","19.78","19.67","19.61","19.68","19.74","19.17","19.53","20.25","20.54","21.18","20.91",".0120413",".0120413","0.243836","609590.00000","1","1","2500.00000","20.25000,20.50000,20.93000,20.62000","0.012916411"
"261","86","AIZ","2004-08-02","2004-08-05",".086759","3","4","24.77,25.15,25.05,25.65999985","2004-08-02, 2004-08-03, 2004-08-04, 2004-08-05","25.6500, 25.8400, 25.9500, 25.7000, 25.1600, 25.1000, 25.3000, 25.6500, 25.8500, 25.8000","2004-08-06, 2004-08-09, 2004-08-10, 2004-08-11, 2004-08-12, 2004-08-13, 2004-08-16, 2004-08-17, 2004-08-18, 2004-08-19","http://www.sec.gov/Archives/edgar/data/1267238/0000950123-04-009237-index.htm","0.004187,-0.006309,-0.000908,-0.016336","-0.015461,0.001200,0.012900,-0.002927,-0.011607,0.001535,0.013494,0.002146,0.012488,-0.003621","-0.0152246530445,0.0,-0.00398406901487,0.0200754626417","0.019685675071,0.0270657823687,0.0313137130661,0.0216330953554,0.000397535286492,-0.00199005040801,0.00594649918773,0.019685675071,0.0274527044087,0.0255165953818","0.006309,0.0,-0.000908,-0.017244","-0.039014,-0.037814,-0.024914,-0.027841,-0.039448,-0.037913,-0.024419,-0.022273,-0.009785,-0.013406","16123062","CLAYTON J KERRY","2","668027.00000","372","2004-08-03","P","25.05","25.15","24.77","24.4","24.4","24.43","24.62","23.9","24.3","24.7","25.15","25.65","25.16","25.8",".0531234",".0531234","1.336054","534421.60000","2","1","500.00000","24.7700,25.1500,25.0500,25.6600","0.058699675"
"269","93","ALBY","2005-07-25","2005-07-29",".0728141","4","5","11.49,11.49,11.5,12,12","2005-07-25, 2005-07-26, 2005-07-27, 2005-07-28, 2005-07-29","12.2500, 12.1200, 12.2400, 12.1200, 12.1200, 12.2400, 11.6500, 11.6300, 11.8050, 11.7050","2005-08-01, 2005-08-02, 2005-08-03, 2005-08-04, 2005-08-05, 2005-08-08, 2005-08-09, 2005-08-10, 2005-08-11, 2005-08-12","http://www.sec.gov/Archives/edgar/data/1074369/0001015402-05-003619-index.htm","-0.003733,0.001626,0.004613,0.005583,-0.007703","0.000918,0.007203,0.000757,-0.007469,-0.007608,-0.002755,0.006735,-0.001879,0.006963,-0.005912","-0.0434295579273,-0.0434295579273,-0.0425596144188,0.0,0.0","0.0206192872027,0.00995033085317,0.0198026272962,0.00995033085317,0.00995033085317,0.0198026272962,-0.0296004697763,-0.0313186832574,-0.0163834792505,-0.0248905488451","-0.011822,-0.010196,-0.005583,0.0,-0.007703","0.005037,0.01224,0.012997,0.005528,-0.00208,-0.004835,0.0019,2.1e-05,0.006984,0.001072","15003346","JONES CHARLES M III","1","428257.20000","382","2005-07-28","P","12","11.5","11.49","11.49","-11.345","11.5","11.3","11.203","11.48","11.49","12","12.25","-12.12","-11.705",".0249917",".0249917","0.299900","428257.20000","4","1","1428.00000","11.4900,11.4900,11.5000,12.0000,12.0000","0.015582287"
"267","92","ALB","2012-07-12","2012-07-13","-.0071028","1","2","56.53,57.93999863","2012-07-12, 2012-07-13","57.32000, 57.23000, 55.61000, 57.53000, 57.07000, 56.70000, 54.84000, 55.14000, 56.37000, 58.12000","2012-07-16, 2012-07-17, 2012-07-18, 2012-07-19, 2012-07-20, 2012-07-23, 2012-07-24, 2012-07-25, 2012-07-26, 2012-07-27","http://www.sec.gov/Archives/edgar/data/915913/0001193125-12-301015-index.htm","-0.005038,0.016596","-0.002319,0.007375,0.006629,0.002609,-0.009842,-0.009067,-0.009039,-0.000364,0.016637,0.019175","0.0,0.024636521654","0.0138781322728,0.0123067657338,-0.0164084294877,0.017535080188,0.00950711386142,0.00300274004651,-0.0303516159931,-0.0248960650915,-0.00283436859372,0.0277383680149","0.0,0.016596","0.014277,0.021652,0.028281,0.03089,0.021048,0.011981,0.002942,0.002578,0.019215,0.03839","12306733","O BRIEN JAMES J","1","6747.86200","390","2012-07-12","P","56.53","57.3","58.88","59.45","59.99","61.57","61.9","60.19","59.64","57.89","56.53","57.32","57.07","58.12",".0014557",".0014557","0.082291","6747.86200","1","1","82.00000","56.53000,57.94000","-0.000398868"
