"id","name","title","year","salary","bonus","stock_awards","option_awards","RSUs","nonequity_incentive_plan_compensation","change_in_pension_value_and_nonqualified_deferred_compensation","securities_underlying_options","all_other","total","remainder","accession","cik","file_date","ind_cik","ind_id"
"536660","Joe A. Raver",,"0","450697.00",NULL,"510733.00","178902.00",NULL,"290000.00",NULL,NULL,"2256844.00","4515700.00","828524.00","www.sec.gov/Archives/edgar/data/852254/0001104659-14-001026-index.html","1417398","2014-01-08","1335815",NULL
"536661","Joe A. Raver",,"0","437395.00",NULL,"496109.00","188534.00",NULL,"370000.00",NULL,NULL,"1792950.00","3587911.00","302923.00","www.sec.gov/Archives/edgar/data/852254/0001104659-14-001026-index.html","1417398","2014-01-08","1335815",NULL
"536662","Kenneth A. Camp",,"0","736410.00","400000.00","1669500.00","584800.00",NULL,"185000.00","755305.00",NULL,"4415883.00","8833778.00","86880.00","www.sec.gov/Archives/edgar/data/852254/0001104659-14-001026-index.html","1417398","2014-01-08","1191450",NULL
"536663","Kenneth A. Camp",,"0","713561.00",NULL,"1619996.00","615632.00",NULL,"600000.00","1004464.00",NULL,"4653861.00","9309733.00","102219.00","www.sec.gov/Archives/edgar/data/852254/0001104659-14-001026-index.html","1417398","2014-01-08","1191450",NULL
"536664","Kimberly K. Ryan -",,"0","408951.00",NULL,"463498.00","162352.00",NULL,"189000.00",NULL,NULL,"1278474.00","2558960.00","56685.00","www.sec.gov/Archives/edgar/data/852254/0001104659-14-001026-index.html","1417398","2014-01-08","1256332",NULL
"536665","Kimberly K. Ryan -",,"0","201644.00",NULL,"1524983.00","474642.00",NULL,"86000.00",NULL,NULL,"2307107.00","4616225.00","21849.00","www.sec.gov/Archives/edgar/data/852254/0001104659-14-001026-index.html","1417398","2014-01-08","1256332",NULL
"536666","Cynthia L. Lucchese",,"0","348205.00",NULL,"394870.00","138317.00",NULL,"48000.00",NULL,NULL,"965414.00","1932840.00","38034.00","www.sec.gov/Archives/edgar/data/852254/0001104659-14-001026-index.html","1417398","2014-01-08","1337319",NULL
"536667","Cynthia L. Lucchese",,"0","335107.00",NULL,"382492.00","145355.00",NULL,"151000.00",NULL,NULL,"1054641.00","2111293.00","42698.00","www.sec.gov/Archives/edgar/data/852254/0001104659-14-001026-index.html","1417398","2014-01-08","1337319",NULL
"536668","Scott P. George",,"0","266667.00","150000.00","749970.00","266168.00",NULL,"41428.00",NULL,NULL,"1507841.00","3017694.00","35620.00","www.sec.gov/Archives/edgar/data/852254/0001104659-14-001026-index.html","1417398","2014-01-08","1540278",NULL
"536669","Scott P. George",,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2011.00","2011.00","www.sec.gov/Archives/edgar/data/852254/0001104659-14-001026-index.html","1417398","2014-01-08","1540278",NULL
