This data has been provided by the Utah Climate Center. Please cite the Climate Center when using this data.
Station Network,AWOS
Station ID,KNYC
Station Name,NYC/CENTRAL PARK
Latitude,40.7833
Longitude,-73.9667
Elevation,0 ft
State,NY
Country,
Units,English
*Note: 'S' Indicates a row that has been filled in by the system as a missing hour.
*Note: All data is displayed the same as we receive it.


Day,Precipitation,Precipitation Type,Temperature,Altimeter
2014-01-01 12:51 am EST,0.00,none,37.4,30.25
2014-01-01 01:51 am EST,0.00,none,24.8,30.33
2014-01-01 02:51 am EST,0.00,none,24.8,30.35
2014-01-01 03:51 am EST,0.00,none,24.8,30.36
2014-01-01 04:51 am EST,0.00,none,24.8,30.37
2014-01-01 05:51 am EST,0.00,none,24.8,30.39
2014-01-01 06:51 am EST,0.00,none,24.8,30.39
2014-01-01 07:51 am EST,0.00,none,26.6,30.4
2014-01-01 08:51 am EST,0.00,none,28.4,30.41
2014-01-01 09:51 am EST,0.00,none,28.4,30.42
2014-01-01 10:51 am EST,0.00,none,28.4,30.42
2014-01-01 11:51 am EST,0.00,none,30.2,30.39
2014-01-01 12:51 pm EST,0.00,none,30.2,30.37
2014-01-01 01:51 pm EST,0.00,none,32.0,30.37
2014-01-01 02:51 pm EST,0.00,none,32.0,30.35
2014-01-01 03:51 pm EST,0.00,none,32.0,30.35
2014-01-01 04:51 pm EST,S,S,S,S
2014-01-01 05:51 pm EST,0.00,none,33.8,30.34
2014-01-01 06:51 pm EST,0.00,none,32.0,30.34
2014-01-01 07:51 pm EST,0.00,none,33.8,30.34
2014-01-01 08:51 pm EST,0.00,none,32.0,30.32
2014-01-01 09:51 pm EST,0.00,none,32.0,30.3
2014-01-01 09:58 pm EST,0.00,none,32.0,30.31
2014-01-01 10:51 pm EST,0.00,none,32.0,30.3
2014-01-01 11:51 pm EST,0.00,none,32.0,30.28
2014-01-02 12:51 am EST,0.00,none,33.8,30.24
2014-01-02 01:51 am EST,0.00,none,32.0,30.23
2014-01-02 02:51 am EST,0.00,none,32.0,30.2
2014-01-02 03:51 am EST,0.00,none,30.2,30.18
2014-01-02 04:15 am EST,0.00,light snow,28.4,30.17
2014-01-02 04:51 am EST,0.00,none,28.4,30.16
