"Company Name","CRD","Initial or Amended","11.C(1)","11.C(2)","11.C(3)","11.C(4)","11.C(5)","11.D(1)","11.D(2)","11.D(3)","11.D(4)","11.D(5)","11.E(1)","11.E(2)","11.E(3)","11.E(4)","11.F","11.G","A","A1","A2","A3","B","Part2 1","Full name of regulator","Principal Sanction","Other sanctions","Date","Explanation","4","5","6","Other product types","7","8","9","10","11","explanation","12a1","12a2","12a3","12a4","12a5","12a6","12a7","12 amount","12b1","12b2","13"
"10/2012","MULTIPLE FINANCIAL SERVICES, INC.","amended","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","You","0","0","0","N/A","SRO","FINRA","Censure","FINE OF $10,000.00","01/27/2012","","AWC #2011028393801","","No Product","","DID NOT CAPTURE AND RETAIN OUTGOING E-MAILS FROM 2/1/2010 THROUGH 8/31/2010.","Final","","Acceptance, Waiver & Consent(AWC)","03/12/2012","","1","0","1","0","0","1","0","$10,000","NONE","$10,000.00 MONETARY/FINE TO BE PAID ON RECEIPT OF INVOICE.","FIRM FAILED TO MAINTAIN AND PRESERVE ALL OF ITS OUTGOING BUSINESS-RELATED EMAILS FROM FEBRUARY 1, 2010 THROUGH AUGUST 31, 2010 AND ADEQUATELY IMPLEMENT ITS SUPERVISORY PROCEDURES FOR THE RETENTION AND REVIEW OF EMAILS."
"10/2012","MULTIPLE FINANCIAL SERVICES, INC.","amended","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","You","0","0","0","N/A","SRO","FINRA","Censure","FINE OF $10,000.00","01/27/2012","","AWC #2011028393801","","No Product","","DID NOT CAPTURE AND RETAIN OUTGOING E-MAILS FROM 2/1/2010 THROUGH 8/31/2010.","Final","","Acceptance, Waiver & Consent(AWC)","03/12/2012","","1","0","1","0","0","1","0","$10,000","NONE","$10,000.00 MONETARY/FINE TO BE PAID ON RECEIPT OF INVOICE.","FIRM FAILED TO MAINTAIN AND PRESERVE ALL OF ITS OUTGOING BUSINESS-RELATED EMAILS FROM FEBRUARY 1, 2010 THROUGH AUGUST 31, 2010 AND ADEQUATELY IMPLEMENT ITS SUPERVISORY PROCEDURES FOR THE RETENTION AND REVIEW OF EMAILS."
"10/2012","AMERICAN INVESTORS GROUP, INC.","amended","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","You","0","0","0","Yes","State","STATE OF CALIFORNIA","Revocation","","02/17/1987","","N/A","","Options","SELL FIRST MORTGAGE CHURCH BONDS.","BROKER-DEALER CERTIFICATE SUMMARILY REVOKED BY THE STATE OF CALIFORNIA PURSUANT TO SECTION 25242(B) OF THE CALIFORNIA CORPORATIONS CODE - FIRM UNDER NAME OF CP SECURITIES CEASED TO DO BUSINESS.","Final","","Other","04/10/1987","","1","0","0","1","0","0","0","$","BROKER-DEALER CERTIFICATE SUMMARILY REVOKED BY THE STATE OF CALIFORNIA PURSUANT TO SECTION 25242(B) OF THE CALIFORNIA CORPORATIONS CODE-FIRM UNDER NAME OF CP SECURITIES CEASED TO DO BUSINESS.","CP SECURITIES REGISTRATION IN THE STATE OF CALIFORNIA WAS SUSPENDED BECAUSE THE STATE WAS UNABLE TO REACH THE FIRM VIA CORRESPONDENCE.","THE FIRM UNDER THE NAME OF AMERICAN INVESTORS GROUP, INC. WAS SUBSEQUENTLY REAPPROVED IN CALIFORNIA ON APRIL 10, 1987."
"10/2012","AMERICAN INVESTORS GROUP, INC.","amended","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","You","0","0","0","Yes","State","STATE OF CALIFORNIA","Revocation","","02/17/1987","","N/A","","Options","SELL FIRST MORTGAGE CHURCH BONDS.","BROKER-DEALER CERTIFICATE SUMMARILY REVOKED BY THE STATE OF CALIFORNIA PURSUANT TO SECTION 25242(B) OF THE CALIFORNIA CORPORATIONS CODE - FIRM UNDER NAME OF CP SECURITIES CEASED TO DO BUSINESS.","Final","","Other","04/10/1987","","1","0","0","1","0","0","0","$","BROKER-DEALER CERTIFICATE SUMMARILY REVOKED BY THE STATE OF CALIFORNIA PURSUANT TO SECTION 25242(B) OF THE CALIFORNIA CORPORATIONS CODE-FIRM UNDER NAME OF CP SECURITIES CEASED TO DO BUSINESS.","CP SECURITIES REGISTRATION IN THE STATE OF CALIFORNIA WAS SUSPENDED BECAUSE THE STATE WAS UNABLE TO REACH THE FIRM VIA CORRESPONDENCE.","THE FIRM UNDER THE NAME OF AMERICAN INVESTORS GROUP, INC. WAS SUBSEQUENTLY REAPPROVED IN CALIFORNIA ON APRIL 10, 1987."
"10/2012","AMERICAN INVESTORS GROUP, INC.","amended","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","You","0","0","0","Yes","State","STATE OF CALIFORNIA","Revocation","","02/17/1987","","N/A","","Options","SELL FIRST MORTGAGE CHURCH BONDS.","BROKER-DEALER CERTIFICATE SUMMARILY REVOKED BY THE STATE OF CALIFORNIA PURSUANT TO SECTION 25242(B) OF THE CALIFORNIA CORPORATIONS CODE - FIRM UNDER NAME OF CP SECURITIES CEASED TO DO BUSINESS.","Final","","Other","04/10/1987","","1","0","0","1","0","0","0","$","BROKER-DEALER CERTIFICATE SUMMARILY REVOKED BY THE STATE OF CALIFORNIA PURSUANT TO SECTION 25242(B) OF THE CALIFORNIA CORPORATIONS CODE-FIRM UNDER NAME OF CP SECURITIES CEASED TO DO BUSINESS.","CP SECURITIES REGISTRATION IN THE STATE OF CALIFORNIA WAS SUSPENDED BECAUSE THE STATE WAS UNABLE TO REACH THE FIRM VIA CORRESPONDENCE.","THE FIRM UNDER THE NAME OF AMERICAN INVESTORS GROUP, INC. WAS SUBSEQUENTLY REAPPROVED IN CALIFORNIA ON APRIL 10, 1987."
"11/2011","WHN INVESTOR SERVICES, INC.","No regulatory info"
"10/2012","LESKO SECURITIES, INC.","initial","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","One or more of your advisory affiliates","0","1","1","N/A","State","","","Other","","01/08/1992","","","","Insurance","","Final","ON 74 OCCASIONS IN 1989, CONTROL AFFILIATE UNINTENTIALLY AIDED EMPIRE BENEFITS PLAN, AN UNLICENSED INSURER, IN CONDUCTING INSURANCE BUSINESS CONTRARY TO STATE INSURANCE LAWS.","","Stipulation and Consent","08/17/1992","0","0","0","1","1","0","1","","$740","",""
"10/2012","BOENNING & SCATTERGOOD, INC.","initial","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","You","0","0","0","N/A","SRO","FINRA","Censure","","10/15/2012","","20090178846-01","","No Product","SHORT INTEREST REPORTING","FOR REVIEW PERIOD 8/13/2004 TO 3/31/2009 BOTH BOENNING & FIRST CLEARING CORP WERE REPORTING SHORT INTEREST POSITIONS RESULTING IN DOUBLE REPORTING. FINRA FOUND BOENNING AT FAULT.IN ADDITION THE FIRM'S SUPERVISORY SYSTEMS DID NOT PROVIDE FOR SUPERVISION REASONABLY DESIGNED TO ACHIEVE COMPLIANCE WITH RESPECT TO FINRA RULES REGARDING SHORT INTEREST REPORTING.","Final","","Acceptance, Waiver & Consent(AWC)","03/12/2013","","1","0","1","0","0","1","0","$50,000","","SAME AS ITEM 7 RESULTING IN CENSURE & $50,000 FINE","SAME AS ITEM 7"
"10/2012","MIDWESTERN SECURITIES TRADING COMPANY, LLC","No regulatory info"
"10/2012","PFS INVESTMENTS INC.","amended","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","You","0","0","0","N/A","SRO","FINRA","Civil and Administrative Penalt(ies) /Fine(s)","CENSURE UNDERTAKING","03/15/2010","","2011025791201","","Mutual Fund(s)","VARIABLE ANNUITIES, 529 COLLEGE SAVINGS PLANS","FINRA ALLEGED PFSI DID NOT PROVIDE CERTAIN CUSTOMERS WITH COPIES OF ACCOUNT INFORMATION WITHIN 30 DAYS AFTER THE ACCOUNT BEING OPENED AND THAT PFSI'S INVESTOR PROFILE QUESTIONNAIRE HAD DEFICIENCIES AS TO CERTAIN PFSI CUSTOMERS WHO MADE SHORT-TERM INVESTMENTS IN MUTUAL FUNDS.  WITHOUT ADMITTING OR DENYING THE ALLEGATIONS AND SOLELY FOR THE PURPOSES OF THAT FINRA PROCEEDING, PFSI ENTERED INTO AN AGREEMENT WITH FINRA ON THOSE MATTERS.","Final","","Acceptance, Waiver & Consent(AWC)","08/30/2012","","1","0","1","0","0","1","0","$100,000","UNDERTAKING","$100,000 FINE PAID 9/17/2012. NONE WAIVED.","FINE HAS BEEN PAID.  REQUIRED UNDERTAKING TO CORRECT ISSUES CITED IN AWC IS DUE 90 DAYS AFTER DATE OF THE AWC.  A REGISTERED PRINCIPAL OF PFSI MUST CERTIFY IN WRITING TO FINRA'S ATLANTA DISTRICT OFFICE THAT THE DEFICIENCIES NOTED IN THE AWC HAVE BEEN CORRECTED."
"10/2012","MIDKIFF & STONE CAPITAL GROUP, INC.","No regulatory info"
"10/2012","MIDKIFF & STONE CAPITAL GROUP, INC.","No regulatory info"
"10/2012","MIDKIFF & STONE CAPITAL GROUP, INC.","No regulatory info"
"10/2012","FOOTHILL SECURITIES, INC.","initial","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","You","0","0","0","No","SRO","NASD","Civil and Administrative Penalt(ies) /Fine(s)","","08/18/2003","","C01030023","","No Product","","NASD RULES 1120(A), 2110, AND 3010(B) - RESPONDENT MEMBER PERMITTED AN EMPLOYEE TO ENGAGE IN ACTIVITIES REQUIRING REGISTRATION WHILE THEY WERE DEEMED INACTIVE FOR FAILING TO SATISFY THE REGULATORY ELEMENT OF CONTINUING EDUCATION; FAILED TO ESTABLISH, MAINTAIN AND ENFORCE WRITTEN PROCEDURES TO SUPERVISE THE ACTIVITES OF REGISTERED REPRESENTATIVES AND ASSOCIATED PERSONS THAT WERE REASONABLY DESIGNED TO ACHIEVE COMPLIANCE WITH RULE 1120(A).","Final","","Decision & Order of Offer of Settlement","11/12/2003","","1","0","1","0","0","0","0","$2,500","","FIRM IS FINED $2,500.",""
